company_name,name,description,link,start_date,host_company_domains,image,tweet_link,tweet_text,webinar_link,image_link,word
security_score,,,,,,,https://twitter.com/security_score/status/1321552225500598277,What an amazing time yesterday at our Fall Sunset BBQ event. Thank you to everyone who came out and shared the day with us! ⛳☀️ https://t.co/pHbbXWgfzb,,http://pbs.twimg.com/media/ElcYrsdXgAEJvES.jpg,event
security_score,,,,,,,https://twitter.com/security_score/status/1318998145846726657,"💻Tune in tomorrow at 1:15pm where our Senior Director of Systems Engineering, David Ortiz, will be speaking at the @DataConnectors Florida Caribbean Virtual #Cybersecurity Summit. Register now --&gt; https://t.co/qhiGlIgm8f https://t.co/ABDtFeiY6j",http://ow.ly/Ucvt50BMtJc,http://pbs.twimg.com/media/Ek4F0vdWMAATzYy.jpg,summit
security_score,,,,,,,https://twitter.com/security_score/status/1318258181508861954,"👉 Register now for @IHSMarkit's first annual virtual event 'Next-Gen Regtech 2020: Outsourcing, Operational Risk &amp; Resiliency'. Sign up today --&gt; https://t.co/pjDusIRfeD https://t.co/hrlCSxogbc",http://ow.ly/Xz0n50BRwZB,http://pbs.twimg.com/media/Ektk1H6WkAIIHQ3.jpg,event
security_score,,,,,,,https://twitter.com/security_score/status/1316476397066620935,"💻 Tune in tomorrow at 3pm EST as Rick Merhai, Head of Third Party IT Risk Management at @rbccm, speaks on our behalf at the @FSISAC Americas Fall Virtual Summit. Register now --&gt; https://t.co/acIx7Kqyyt",http://ow.ly/mlom50BSlt7,,summit
security_score,,,,,,,https://twitter.com/security_score/status/1316439051113762816,What is social engineering? Learn examples and prevention tips here --&gt; https://t.co/UGWtV33NVz,http://ow.ly/qsyB50BRkOq,,event
security_score,,,,,,,https://twitter.com/security_score/status/1311712895164612609,"💻Join @ayampolskiy tomorrow, October 2nd, as he participates in a panel discussion for Astor Perkins’ All Things Space &amp; Survival Event. Sign up --&gt; https://t.co/J7pqfUFWwK https://t.co/eN8hiTkrzW",http://ow.ly/YToZ50BGBO7,http://pbs.twimg.com/media/EjQj7PwXgAEgxyh.jpg,event
security_score,,,,,,,https://twitter.com/security_score/status/1309114829156896768,RT @moderncto_io: #NewEpisode featuring #Technology Evangelist and CISO Mike Wilkes of @security_score hits the spot with talks on gecko #r…,,,podcast
security_score,,,,,,,https://twitter.com/security_score/status/1308828877024899072,"💻 Register now for Astor Perkins’ All Things Space &amp; Survival Event where our CEO &amp; Co-Founder, Aleksandr Yampolskiy will be participating as a panelist. Sign up --&gt; https://t.co/OL7kAB1euX https://t.co/0ZpGep4VBL",http://ow.ly/u52R50BzicH,http://pbs.twimg.com/media/Eink7SnWkAISMCF.jpg,event
security_score,,,,,,,https://twitter.com/security_score/status/1307318868822589440,🎥 Check out this short clip featured on @TWiT's Enterprise Tech podcast where @LouMM highlights what makes SecurityScorecard the global leader in #cybersecurity ratings. Watch now --&gt; https://t.co/oKchIkkDba,https://youtu.be/NEjsDY3mfZQ,,podcast
security_score,,,,,,,https://twitter.com/security_score/status/1306329041851559937,RT @Meetup: Founder of the NYC Technology Startups Meetup group and CEO/Co-founder of @security_score Aleksandr Yampolskiy provides importa…,,,event
security_score,,,,,,,https://twitter.com/security_score/status/1306231979420069889,"💻 Tune in for a live discussion on 'The Role of a CISO in a Post-Pandemic World' with CISO of Upstart, Pavi Ramamurthy, and Deputy CISO of Customers Bank, Krista Arndt. Sign up now for @SCMagazine's RiskSec 2020 Digital Conference --&gt; https://t.co/ndtPvdIjy0 https://t.co/Ot4NY0fFUV",http://ow.ly/dt5O50Bqv0P,http://pbs.twimg.com/media/EiCrECdWsAM5rQY.jpg,conference
security_score,,,,,,,https://twitter.com/security_score/status/1303725366331297794,"You can’t eliminate third-party #risk entirely, but there are things you can do to limit those risks. Check out these 5 ways to prevent #databreaches caused by a third-party --&gt; https://t.co/n1kyppLb8O",http://ow.ly/uUf550Bm7rz,,event
security_score,,,,,,,https://twitter.com/security_score/status/1300906794693398532,RT @Meetup: CEO and co-founder of @security_score Aleksandr Yampolskiy details five ways Meetup users can stay safe online: https://t.co/mO…,,,event
security_score,,,,,,,https://twitter.com/security_score/status/1300509011251429381,"Attending the Chicago 2020 @CyberSummitUSA? Stop by our virtual booth and receive your organization's free #cybersecurity rating. Register now --&gt; https://t.co/ZeRyclBBfG

#VirtualCyberSecuritySummit #Chicago https://t.co/1Y4nBvBoyh",http://ow.ly/Yb7B50B9zdu,http://pbs.twimg.com/media/EgxWDVLXkA04Hm5.jpg,summit
security_score,,,,,,,https://twitter.com/security_score/status/1297964469478477824,"✅It's not too late to register now for @GuidePointSec's 'Women in IT Security' virtual event happening tomorrow, 8/25 at 4:00pm ET.  Sign up now --&gt; https://t.co/bns1i1zSFD

#WomenInTech #WomenInIT #ITsecurity https://t.co/iuSrPMDf50",http://ow.ly/F3ck50B7lx7,http://pbs.twimg.com/media/EgNLzmvWoAMnEtK.jpg,event
security_score,,,,,,,https://twitter.com/security_score/status/1296870374605553664,What is #Data Theft? Learn what it is and prevention tips from @okta's complete guide -&gt; https://t.co/J9guTSAwSU,http://ow.ly/NPve50B2r3e,,event
security_score,,,,,,,https://twitter.com/security_score/status/1296132366054961155,"📽️Check our CEO &amp; Co-Founder, @ayampolskiy's recent interview on 'The Innovating with @ScottSAmyx Show'- ranked by Forbes Magazine as one of the top 11 #tech podcasts. Listen now --&gt; https://t.co/6KBhiQVXNM",http://ow.ly/mggw50B3KS0,,podcast
security_score,,,,,,,https://twitter.com/security_score/status/1296061983410847746,"Attending @DataConnectors' NYC Virtual Cybersecurity Summit? Come stop in our virtual booth for a chance to win an Amazon Gift Card --&gt; https://t.co/fzFhdn4yRv

#CyberSecVirtual #DataConnectors #NYC https://t.co/HyytTUXWqo",http://ow.ly/vLoU50AYwfO,http://pbs.twimg.com/media/EfyJgYLX0AIN8li.jpg,summit
security_score,,,,,,,https://twitter.com/security_score/status/1293615851816521728,"Tune in tomorrow, 8/13 at 11:00am EST as our Chief Research &amp; Development Officer, Alexander Heid, speaks live at the Cloud Security Summit. Register now --&gt; https://t.co/SeYGXmOojw",http://ow.ly/d91e50ATPBJ,,summit
security_score,,,,,,,https://twitter.com/security_score/status/1285201572235038720,New Blog 🌟 What is social engineering? Learn examples and prevention tips here --&gt; https://t.co/O4uYl9of8M,http://ow.ly/WWwm50ABpyp,,event
security_score,,,,,,,https://twitter.com/security_score/status/1283484912272760835,"RT @Meetup: Before you attend your next online Meetup event, be sure to enable proper protections for your video conferencing. Learn more a…",,,event
security_score,,,,,,,https://twitter.com/security_score/status/1277640717112881152,"Tune in this Wednesday, 7/1 at 12:30pm ET as our COO &amp; Co-Founder, Sam Kassoumeh, participates in a panel discussion at the @NetDiligence Cyber Risk Virtual Summit . Register here --&gt; https://t.co/r44tgK7Mg3 https://t.co/E6ml00OKXr",http://ow.ly/eRDP50Afrh6,http://pbs.twimg.com/media/EbsXdhyWoAkVeNX.jpg,summit
security_score,,,,,,,https://twitter.com/security_score/status/1277271088263823361,"#ScorecarderSpotlight Meet Kelli, our Field Marketing Manager, who is responsible for planning, coordinating and executing all of our national, international (and now virtual) field events! https://t.co/U8zpw64wvo",,http://pbs.twimg.com/media/EbnHSR5XkAMNbAO.png,event
security_score,,,,,,,https://twitter.com/security_score/status/1275893323530735616,"Tune in tomorrow, 6/25 at 1:15pm EST as our Chief Research &amp; Development Officer, @alexheid speaks live at @SecurityWeek’s Enterprise Lockdown Virtual Event. Register now --&gt; https://t.co/Pq1VG8gEw7",http://ow.ly/oaud50AgYMI,,event
security_score,,,,,,,https://twitter.com/security_score/status/1275425729501634560,RT @ngpcapital: We are about to kick-off our virtual CIO network event in about one hour! We’ll look at how #COVID19 COVID-19 has disrupted…,,,event
